,event,name,date,bouts,link
632,UFC 96,Jackson vs. Jardine,2009.03.07,10,/fightcenter/events/ufc-96-jackson-vs-jardine
635,UFC 95,Sanchez vs. Stevenson,2009.02.21,10,/fightcenter/events/ufc-95-sanchez-vs-stevenson
639,UFC Fight Night 17,Lauzon vs. Stephens,2009.02.07,10,/fightcenter/events/ufc-fight-night-17-lauzon-vs-stephens
642,UFC 94,St-Pierre vs. Penn 2,2009.01.31,10,/fightcenter/events/ufc-94-st-pierre-vs-penn-2
646,UFC 93,Franklin vs. Henderson,2009.01.17,10,/fightcenter/events/ufc-93-franklin-vs-henderson
647,UFC 92,The Ultimate 2008,2008.12.27,10,/fightcenter/events/ufc-92-the-ultimate-2008
649,UFC Fight Night 16,Fight for the Troops,2008.12.10,10,/fightcenter/events/ufc-fight-night-16-fight-for-the-troops
650,UFC 91,Couture vs Lesnar,2008.11.15,9,/fightcenter/events/ufc-91-couture-vs-lesnar
651,UFC 90,Silva vs Cote,2008.10.25,10,/fightcenter/events/ufc-90-silva-vs-cote
652,UFC 89,Bisping vs Leben,2008.10.18,11,/fightcenter/events/ufc-89-bisping-vs-leben
653,UFC Fight Night 15,Diaz vs. Neer,2008.09.17,10,/fightcenter/events/ufc-fight-night-15
654,UFC 88,Breakthrough,2008.09.06,9,/fightcenter/events/ufc-88-breakthrough
655,UFC 87,Seek and Destroy,2008.08.09,10,/fightcenter/events/ufc-87-seek-and-destroy
656,UFC Fight Night 14,Silva vs. Irvin,2008.07.19,11,/fightcenter/events/ufc-fight-night-14-silva-vs-irvin
657,UFC 86,Jackson vs. Griffin,2008.07.05,9,/fightcenter/events/ufc-86-jackson-vs-griffin
666,UFC 85,Bedlam,2008.06.07,11,/fightcenter/events/ufc-85-bedlam
670,UFC 84,Ill Will,2008.05.24,11,/fightcenter/events/ufc-84-ill-will
672,UFC 83,Serra vs. St. Pierre 2,2008.04.19,11,/fightcenter/events/ufc-83-serra-vs-st-pierre-2
674,UFC Fight Night 13,Florian vs. Lauzon,2008.04.02,12,/fightcenter/events/ufc-fight-night-13-florian-vs-lauzon
677,UFC 82,Pride of a Champion,2008.03.01,10,/fightcenter/events/ufc-82-pride-of-a-champion
685,UFC 81,Breaking Point,2008.02.02,9,/fightcenter/events/ufc-81-breaking-point
688,UFC Fight Night 12,Swick vs. Burkman,2008.01.23,9,/fightcenter/events/ufc-fight-night-12-swick-vs-burkman
689,UFC 80,Rapid Fire,2008.01.19,9,/fightcenter/events/ufc-80-rapid-fire
690,UFC 79,Nemesis,2007.12.29,10,/fightcenter/events/ufc-79-nemesis
692,UFC 78,Validation,2007.11.17,9,/fightcenter/events/ufc-78-validation
694,UFC 77,Hostile Territory,2007.10.20,9,/fightcenter/events/ufc-77-hostile-territory
695,UFC 76,Knockout,2007.09.22,9,/fightcenter/events/ufc-76-knockout
696,UFC Fight Night 11,Thomas vs Florian,2007.09.19,9,/fightcenter/events/ufc-fight-night-11-thomas-vs-florian
